schema_id,template_id,authored_template_id,category_path,parent_category,leaf_category,sub_category,category_gr,cta_map_key,cta_url,template_status,match_mode,template_file,fingerprint,n_sections,n_rows_total,last_section,last_label,example_count,first_example
sha1:f93b5ef2ce2a5f6f4e8e7f7b45c664abc2e70a12,aerioy,aerioy_electronet_labels_v1,HOBBIES > Barbeque > Αερίου,HOBBIES,Barbeque,Αερίου,Αερίου,Αερίου,https://www.etranoulis.gr/hobbies/barbeque/aeriou,active,direct_single,resources/templates/electronet/aerioy.json,c6caf2a8efec3de6729050f6d6faf58b83e133e6fcbe21acdf5ad8ed7d4b25ed,2,15,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/gadgets-gaming-hobbies/barbeque/aerioy/psistaria-ygraerioy-weber-spirit-e-335
sha1:2bedc7b7afc9567fd7c95a06e32e4336ea1e72a2,axesoyar_psistarion,axesoyar_psistarion_electronet_labels_v1,HOBBIES > Barbeque > Αξεσουάρ Ψησταριών,HOBBIES,Barbeque,Αξεσουάρ Ψησταριών,Αξεσουάρ Ψησταριών,Αξεσουάρ Ψησταριών,https://www.etranoulis.gr/hobbies/barbeque/aksesouar-pshstariwn,active,direct_single,resources/templates/electronet/axesoyar_psistarion.json,a2fc3ef0f1df2cc42d614f87fc1ee3c8b5ddd4f85252d3f2b76a7ab583ef8569,2,5,Γενικά Χαρακτηριστικά,Βάρος,1,https://www.etranoulis.gr/hobbies/barbeque/aksesouar-pshstariwn/fieldmann-fzg-9000-u-doxeio-ekkinhshs-gia-psistaria
sha1:b6561906abf4eea130e08e0de5f6f76ef398d80b,karvoynoy,karvoynoy_electronet_labels_v1,HOBBIES > Barbeque > Κάρβουνου,HOBBIES,Barbeque,Κάρβουνου,Κάρβουνου,Κάρβουνου,https://www.etranoulis.gr/hobbies/barbeque/karvounou,active,direct_single,resources/templates/electronet/karvoynoy.json,60e992428df909e1881ab4719fa86122c440a86ccac16fa58e6f1e25e1d8f284,1,9,Επισκόπηση Προϊόντος,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/gadgets-gaming-hobbies/barbeque/karboynoy/psistaria-karboynoy-weber-compact-kettle-57-ek-mayro
sha1:fd4436f62fc83f6056f2fc641a982e41e383b00b,electric_scooter,electric_scooter_electronet_labels_v1,HOBBIES > Electric Scooter > -,HOBBIES,Electric Scooter,,ELECTRIC SCOOTER,ELECTRIC SCOOTER,https://www.etranoulis.gr/hobbies/Electric-Scooter,active,direct_single,resources/templates/electronet/electric_scooter.json,4552a0996c5f2ba73f17eeb0d2e8375a07bd7c85c3e0eac43b6d4b76fac4a6b9,1,7,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/gadgets-gaming-hobbies/ilektrokinisi/scooter/xiaomi-electric-scooter-4-lite-gen2
sha1:0fa08ace0048ae2f00fb5cfc22431a885d60dd4f,playstation,playstation_electronet_labels_v1,HOBBIES > Gaming > Playstation,HOBBIES,Gaming,Playstation,Playstation,Playstation,https://www.etranoulis.gr/hobbies/gaming/playstation,active,direct_single,resources/templates/electronet/playstation.json,34148e239e51ca3f54ca5c37b65c20afe4f500fe119a22e55995ca368cc03a62,3,16,Γενικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/hobbies/gaming/playstation/sony-ps5-console-pro-ps5pro-2tb-digital
sha1:e494f254364c65c21c899ec902f0832f9c5ef405,wearables,wearables_electronet_labels_v1,HOBBIES > Wearables > -,HOBBIES,Wearables,,WEARABLES,WEARABLES,https://www.etranoulis.gr/hobbies/wearables,active,direct_single,resources/templates/electronet/wearables.json,1c8333db2ed92cf0ce8917b29aa7175249ed017c03af62d3f8f1a50507aa483e,1,18,Τεχνικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/hobbies/wearables/smartband-huawei-band-6-adiavroxo-palmografo-sakura-pink
sha1:7dc480bfef9194f079be6a764987477047641554,dvd,dvd_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > DVD,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,DVD,DVD,DVD,https://www.etranoulis.gr/eikona-hxos/audio-systems/dvd,active,direct_single,resources/templates/electronet/dvd.json,00ca1080827994a719d3d47585aa740b25e4aa13899a66739055546ac2390001,3,26,Γενικά Χαρακτηριστικά,Διαστάσεις Συσκευής σε Εκατοστά (Υ χ Π χ Β),1,https://www.electronet.gr/eikona-ihos/audio-home-systems/dvd-blurays/dvd-player-philips-taep20012
sha1:897a070a16154c4cbaae14d3dff63c70694a11d6,dvd_blurays,dvd_blurays_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > DVD Blurays,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,DVD Blurays,DVD Blurays,DVD Blurays,https://www.etranoulis.gr/eikona-hxos/audio-systems/dvd-blurays,active,direct_single,resources/templates/electronet/dvd_blurays.json,348b385e09d880e91acd02cbfadec448a29ffecff2a1e23c65d19922d76c028e,3,26,Γενικά Χαρακτηριστικά,Διαστάσεις Συσκευής σε Εκατοστά (Υ χ Π χ Β),1,https://www.electronet.gr/eikona-ihos/audio-home-systems/dvd-blurays/blu-ray-player-panasonic-dp-ub820egk
sha1:e80720aff598ee551d0eaf2c77c53a7c1b7f0a5f,hifi,hifi_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > Hifi,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,Hifi,Hifi,Hifi,https://www.etranoulis.gr/eikona-hxos/audio-systems/hifi,active,direct_single,resources/templates/electronet/hifi.json,247db0b8046f647695e9e11ea4b18543eb18e7aeeb8cc8cc690db2e451a8d11a,3,27,Διαστάσεις,Βάθος,2,https://www.etranoulis.gr/eikona-hxos/audio-systems/hifi/hxosysthma-mini-panasonic-sc-pm250eg-k
sha1:108010e7d8977d4fcfae80de0cac1bd5a99171d1,sound_bars,sound_bars_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > Sound Bars,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,Sound Bars,Sound Bars,Sound Bars,https://www.etranoulis.gr/eikona-hxos/audio-systems/sound-bars,active,direct_single,resources/templates/electronet/sound_bars.json,70d2e07c53ce860ad433db1e70585d100002f238b6fb4ff797cb815c79e51026,3,19,Γενικά,Βάρος Συσκευής σε Κιλά,2,https://www.electronet.gr/eikona-ihos/audio-home-systems/sound-bars-docking-stations/soundbar-lg-s30a
