schema_id,sub_category,n_sections,n_rows_total,n_source_files,example_source_file
sha1:08f0ced31e285ba22e93eb0550320d345a3cda94,,3,26,2,dvd.json
sha1:094699763577300a374905482b3910f83809a941,,3,5,1,anemisthres_an_toixou.json
sha1:0afca19ffd5ea62d89eedacca3c889e8d0e67b37,,3,26,1,aporrofitires.json
sha1:0fa08ace0048ae2f00fb5cfc22431a885d60dd4f,,3,16,1,playstation.json
sha1:108010e7d8977d4fcfae80de0cac1bd5a99171d1,,3,19,1,sound_bars.json
sha1:11269da9510c642383a73fed3298eae544a8b654,,2,3,1,pliktrologia.json
sha1:12ccc574367c4d65c77ec44cf6e7c3f41f6395ef,,1,8,1,frapieres.json
sha1:13c5c7350cb83a57447d92f7daf68cf6a537ca79,,2,17,2,thermastres_carbon.json
sha1:154d4b8ca0e6d821550a860f138de770758d11b7,,2,15,2,ektypotes.json
sha1:17658a4bc5514cf81e7f939685bfedc586294115,,4,34,1,ixeia.json
sha1:1f6515328769b8a04af246887a49462f485a0c73,,1,15,1,syskeyes_apotrixosis.json
sha1:1f68f069961fded3ca13ff06e940e9593497dd04,,3,22,1,foyrnakia.json
sha1:1fc367dfe6d6709d07db984b649ee44cc75b8f19,,2,11,1,skoypes_stick.json
sha1:21bacaa0fccaebbe3e5c1908666176e9a574183c,,3,30,1,enisxytes.json
sha1:22347b4ccec0f85eaab6c1116d6ca8e5e40b9e3b,,5,52,2,entoixizomena_psygeia.json
sha1:254b3d3bd482cbbf8c65bddac745a74262afe033,,3,19,2,apoxymotes.json
sha1:25d40cc171cae293a01d1098b2a38dbb75cb4dff,,2,15,1,keraies.json
sha1:26a262d3ce3eb6dda44d98704d410362a4a526b9,,7,38,1,laptops.json
sha1:27acd23e244876dd0f9eee68083304a7800e9aee,,5,52,1,psygeia.json
sha1:299a5c790b776a96a1df402daeffc1b9ef45c123,,3,5,1,axesoyar_oikiakon_syskeyon.json
sha1:2a906c1d8ec243b76230efc4aa4069f13f2a1c78,,2,16,1,pikap.json
sha1:2ba345931f650a0b9836037ca638aaaee52f93d1,,2,17,1,kalorifer.json
sha1:2bedc7b7afc9567fd7c95a06e32e4336ea1e72a2,,2,5,1,axesoyar_psistarion.json
sha1:2c20efe5796bd53a1ff1c5a70225c16439398ee4,,4,28,1,plyntiria_stegnwthria_2in1.json
sha1:2eedb0213b528ef32b7a917fdc436b1a9d19f763,,3,20,1,vrastires.json
sha1:33a68e02b3c573bfb06d7158c874a9c403627550,,3,5,1,epipla.json
sha1:39ec2343597225020f849d0e1fe1d965916cebf3,,1,7,1,power_banks.json
sha1:41d4e1d08e82978687d40db7acfe37ec3bcc5fab,,2,11,1,skoypakia.json
sha1:441802c64fefa6f56c41521a98ff261ecb8fa4fc,,4,17,2,ilektrika_ypostromata.json
sha1:44ce037c5477d73a780847d68515db5d1a920255,,1,9,1,iliakoi_thermosifones.json
sha1:4adc55c46699eed4f655b08ecaa50f97ff2b06c1,,1,6,1,kartes_mnimis.json
sha1:4baa5f4cef74197218aaff4b6a9533fbf9d1413a,,5,24,1,plyntiria_piaton.json
sha1:4cd7ca0d1bf63bcb0cbc74b8614e8cfbf561e9ee,,2,20,1,sidera.json
sha1:4e141321f61efc85ad7269f80954b0eac2a24c47,,7,37,1,set_foyrnoi_kai_esties.json
sha1:4f4ab15c4d2d4902f817ff4909560a21ea1c0b02,,1,9,1,hands_free.json
sha1:555bdc96c54a59e86d260dffd9769faac88c2fe7,,2,20,1,aerotherma.json
sha1:55864a4525eda9379147cac182db2fedd9e9500a,,3,13,1,psifiakoi_apokodikopoiites.json
sha1:561498e984e4aff06e80a8f1c9df04a16ef0463f,,4,23,1,antlies_thermotitas.json
sha1:56cfdd284d6463c550bebbbdc93bc453031abbd1,,4,30,1,koyzines.json
sha1:57b40ef0e66f093bce485e9b538c060b2fa70b0e,,1,9,1,kreatomixnes.json
sha1:5a5312852ea2c18089176b5f593d336d647bfe38,,6,31,1,desktops.json
sha1:5a5d87d348d85542b43254a79c1e30f947f0a13e,,3,20,1,othones.json
sha1:5c393ed79534c4885582469115ac4c56bc30d095,,3,18,1,kafetieres_filtroy.json
sha1:5dd5b1d1398630b950232cbf39069774fbf003cc,,5,35,1,plyntiria_rouxwn.json
sha1:5efb1eddbe6bf3a6770f831e84282f1dcaa9cf3b,,3,5,1,mikroi_mageires_esties_small.json
sha1:5f6350a888ee96bf78803906a5b720d717d98406,,7,40,3,forita.json
sha1:5fd482e1bc95f854984188f4d55892e272bf6d82,,4,30,1,esties.json
sha1:62b8a0d2ec9427845fa2e40966c2f6dda4220241,,2,4,1,pontikia.json
sha1:671acaba22ebb4ad7ba7185509c9e7831a393776,,3,13,1,radiofona.json
sha1:67a500e2e856178dd98f5e2a85eeb8738bf71a5f,,2,5,1,fortistes.json
sha1:68bedf79b52e81d4ef74359fdd51ff9fbd12c831,,1,16,1,xyristikes_mixanes.json
sha1:68bf20e37e7e47b1794b86cfb2cc73509ee4b033,,1,11,1,tigania.json
sha1:69cddb69ff2da7918e2607a809c6e9e098d0e632,,4,31,1,entoixizomenoi_katapsyktes.json
sha1:70907e9185e67ba9e5d709771d359197c54509df,,1,14,1,siderostres.json
sha1:7210c64a500cada15f90bc00cb65f49eea879cf0,,7,33,2,android.json
sha1:73ed39cc19575097389a18a47deb94e55bdfa278,,2,5,1,thikes.json
sha1:771a63f424bb546fed15d1c9b6beaec997bad407,,4,32,1,katapsyktes.json
sha1:79a77e924228283019b52fbcbe179f0dc7e79ce1,,4,28,1,entoixizomena_mikrokymaton.json
sha1:7a6777b4092e72e4a8dbc81d979cf24990048b47,,5,32,1,foyrnoi_mikrokymaton.json
sha1:7c5d2a32496a5241e0872fbc57a52ce80f405f51,,3,17,1,zygaries_somatos.json
sha1:7ea393f443280b877a1be95e894e87b4af55297d,,3,5,1,siderwma_accessories_consumables.json
sha1:818c84093197e7fc0849bb5f29c345a1bd4e2765,,2,18,1,vaseis.json
sha1:8a46016661a3f3c81e02bfa6e9550e9caaf47ecd,,2,17,1,isiotika_mallion.json
sha1:8b2edb87de7956e1895618e32968ea0d984a805e,,2,11,1,akoystika.json
sha1:8b94b7143e8852697897c70076f9a05afedd23c5,,7,40,1,ntoylapes.json
sha1:8cefea1eec4f996d2d676a05907dc7ace35ad473,,3,6,1,tv_control.json
sha1:8ed131cab04279a8d9b0c78b5ef6f73931ef03d6,,3,16,1,psistieres_gkrilieres.json
sha1:8f70ddae04ec2f19b7e65d78a6871ad4a8edbeea,,4,24,1,car_audio.json
sha1:90d145b4a9641dfebc73e3712831278def0e2b41,,3,21,2,koyzinomixanes.json
sha1:914fa7805adb25ba0ddccb4db4e8cc40203e17bd,,2,19,1,sesoyar.json
sha1:954c8413f2da941e78f3ddce65df522654336c8c,,4,31,1,tileoraseis.json
sha1:989e32be31833c891ab05912236e5da513439582,,3,18,1,fryganieres.json
sha1:9a4ab87e66ced6617aa31bbe0065e17c2da23896,,2,18,7,air_coolers_epidapedioi.json
sha1:a2c2142a1a9746a7d1a91b0de5c3786195f37a5f,,5,25,1,entoixizomena_plyntiria_piaton.json
